Valor funcion objetivo = 2878083
Cantidad de Iteraciones = 119
Tiempo de ejecucion (segundos) = 0.22765731811523438

0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    1908 0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    | 1908
0    0    0    0    0    0    0    0    0    0    0    0    0    803  0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    1102 2128 0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    | 4033
0    0    0    0    0    0    0    0    0    551  0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    | 551
0    0    0    0    0    0    0    0    0    0    1410 0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    | 1410
0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    1223 0    0    0    0    0    0    0    0    2961 0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    | 4184
0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    166  0    0    0    0    0    0    0    0    0    0    0    0    0    | 166
0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    1457 0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    | 1457
0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    1006 0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    2793 0    | 3799
0    0    0    0    0    850  0    0    0    0    0    0    0    0    0    0    0    3013 0    0    0    0    0    273  0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    | 4136
0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    2891 0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    | 2891
0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    72   0    0    0    4460 0    0    0    0    0    0    0    | 4532
0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    2766 0    0    0    0    0    0    0    0    0    0    757  0    0    0    0    0    0    0    0    0    0    0    0    0    385  | 3908
