Valor funcion objetivo = 3692622
Cantidad de Iteraciones = 119
Tiempo de ejecucion (segundos) = 0.18891096115112305

0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    1685 0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    2499 0    0    0    0    0    0    0    0    0    0    | 4184
0    0    0    0    0    0    0    0    0    0    0    0    0    40   0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    1463 0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    | 1503
0    0    0    0    0    0    0    0    0    0    0    0    0    0    574  0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    | 574
0    0    0    0    0    0    0    0    0    0    649  0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    | 649
0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    957  0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    | 957
0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    2574 0    0    0    0    0    0    0    0    0    0    0    0    0    | 2574
0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    580  0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    | 580
0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    4200 0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    | 4200
0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    2249 0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    | 2249
0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    3421 0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    | 3421
0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    443  0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    | 443
0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    3443 70   0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    | 3513
0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    827  0    0    0    | 827
0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    2543 0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    | 2543
